,Theme,Category,Source,Valence_mean,Valence_SD,Valence_N,Arousal_mean,Arousal_SD,Arousal_N,normalized_valence,normalized_arousal
32,Baby 2,Person,Pixabay,6.02777777777778,1.05421568785088,108,3.66346153846154,1.83604988046482,104,0.9140862173649068,0.4889671139671152
33,Baby 3,Person,Pixabay,5.84158415841584,1.16389581378512,101,4.11650485436893,1.74502638259615,103,0.8794928673195189,0.6013930965387279
34,Baby 4,Person,Pixabay,5.92079207920792,1.23841163041076,101,4.27184466019417,1.85870593164676,103,0.8942090930404519,0.6399417952816007
35,Baby 5,Person,Pixabay,6.13888888888889,1.06304388681557,108,3.72115384615385,1.82993835520997,104,0.9347298117789928,0.50328387828388
36,Baby 6,Person,Pixabay,6.0462962962963,0.989517575833472,108,3.65384615384615,1.76684256126451,104,0.9175268164339215,0.4865809865809865
37,Baby 7,Person,Pixabay,2.97058823529412,1.30843328846192,102,4.24752475247525,1.66976609496096,101,0.34608378870674034,0.6339066339066354
38,Baby 8,Person,Pixabay,6.10185185185185,1.11857565317045,108,3.92307692307692,1.85227389874369,104,0.9278486136409636,0.5533925533925533
39,Baby 9,Person,Pixabay,5.85294117647059,1.22188831969721,102,3.64356435643564,1.70636548497584,101,0.8816029143898004,0.484029484029484
40,Baby 10,Person,Pixabay,5.42156862745098,1.33821422688067,102,3.89108910891089,1.70235713115086,101,0.8014571948998183,0.545454545454546
41,Band 1,Person,Pixabay,4.87128712871287,1.11052569836662,101,3.00970873786408,1.41764196391899,103,0.6992191022380929,0.32673361799575523
42,Band 2,Person,Pixabay,5.15686274509804,1.11466460825459,102,3.84158415841584,1.54746678973945,101,0.7522768670309661,0.5331695331695336
43,Bar 1,Scene,Pixabay,4.90196078431373,1.18162334989673,102,3.45544554455446,1.6032763484518,101,0.7049180327868866,0.43734643734643924
44,Bar 2,Scene,Pixabay,4.75247524752475,1.02377673927531,101,3.78640776699029,1.74136798510451,103,0.6771447636566935,0.5194771117101219
45,Bar 3,Scene,Pixabay,4.49019607843137,1.30304364218925,102,3.25742574257426,1.61030099886037,101,0.628415300546448,0.3882063882063896
46,Barbeque 1,Person,Pixabay,4.7156862745098,1.1550787635944,102,3.07920792079208,1.41903606942764,101,0.670309653916211,0.343980343980345
47,Barbeque 2,Person,Pixabay,5.14851485148515,1.26796008307723,101,3.12621359223301,1.58225212816047,103,0.7507258922613581,0.3556451420529099
48,Bark 1,Object,Pixabay,4.03703703703704,0.863874405958206,108,2.06730769230769,1.43644939202973,104,0.5442218174458622,0.09286996786996804
49,Bark 2,Object,Pixabay,4.25925925925926,0.857843093623741,108,2.11538461538462,1.45687317989085,104,0.5855090062740342,0.1048006048006067
50,Bark 3,Object,Pixabay,4.62745098039216,0.932595320718881,102,2.08910891089109,1.43595967841016,101,0.6539162112932615,0.0982800982800993
51,Bark 4,Object,Pixabay,4.23762376237624,0.736865182397501,101,2.24271844660194,1.50467258778151,103,0.5814892964706315,0.13639941795281632
52,Bark 5,Object,Pixabay,4.1980198019802,0.616762547179999,101,2.05825242718447,1.37787306053567,103,0.5741311836101651,0.0906228381956555
53,Bark 6,Object,Pixabay,4.25742574257426,0.687800339437757,101,2.20388349514563,1.38166724592081,103,0.5851683529008649,0.12676224326709817
54,Barrels 1,Object,Pixabay,4.20792079207921,0.571258814954628,101,2.46601941747573,1.49387989372445,103,0.5759707118252817,0.19181317239569795
55,BDSM 1,Person,Wikipedia,4.33333333333333,1.48479643791538,102,4.55445544554455,1.71741228320257,101,0.5992714025500909,0.7100737100737096
56,BDSM 2,Person,Wikipedia,3.93069306930693,1.57007914286239,101,4.30097087378641,1.89340937152084,103,0.5244639218020165,0.6471696762958912
57,BDSM 3,Person,Wikipedia,3.9537037037037,1.63709486967695,108,4.22115384615385,1.72337854436265,104,0.5287391216352962,0.6273625023625041
58,Beach 1,Scene,Pixabay,6.36633663366337,0.845254663130914,101,4.7378640776699,1.69173982290505,103,0.9769878627206995,0.7555878915102215
59,Beach 2,Scene,Pixabay,6.32352941176471,0.935141909132241,102,4.13861386138614,1.86563502845705,101,0.9690346083788719,0.6068796068796078
60,Beach 3,Scene,Pixabay,5.51485148514851,1.08271751981889,101,3.80582524271845,1.65717839826323,103,0.8187884362206708,0.5242956990529822
61,Beach 4,Scene,Wikipedia,5.92592592592593,0.973515680155425,108,3.625,1.74148413437828,104,0.8951629224853281,0.4794226044226052
62,Beach 5,Scene,Pixabay,5.59259259259259,1.23830632778806,108,3.35576923076923,1.56985107964034,104,0.8332321392430682,0.4126110376110382
63,Beach 6,Scene,Wikipedia,6.05555555555556,0.965123916631864,108,3.89423076923077,1.76766133266676,104,0.9192471159684287,0.5462341712341722
64,Beach 7,Scene,Pixabay,6.06862745098039,0.967387048402655,102,4.30693069306931,1.6837017209555,101,0.9216757741347906,0.6486486486486501
65,Beach 8,Scene,Pixabay,5.85294117647059,1.00884267408749,102,3.89108910891089,1.88627140199394,101,0.8816029143898004,0.545454545454546
66,Bear 1,Animal,Wikipedia,5.14814814814815,1.14234399793701,108,3.33653846153846,1.61070796062746,104,0.750657761586724,0.4078387828387832
67,Bear 2,Animal,Flickr/Tim Williams,4.41666666666667,1.31933854851872,108,3.77884615384615,1.72337854436265,104,0.6147540983606568,0.5176006426006425
68,Bear 3,Animal,Pixabay,5.46534653465347,0.965032190506033,101,4.32038834951456,1.44990596201494,103,0.8095907951450897,0.651988263638749
69,Bed 1,Object,Flickr/Hannah,4.01980198019802,0.916299056201653,101,2.99029126213592,1.72919082079649,103,0.5410196757380661,0.32191503065289495
70,Bee 1,Animal,Wikipedia,3.64814814814815,1.4808106823333,108,3.61538461538462,1.7253545706098,104,0.4719692369965601,0.47703647703647895
71,Biking 1,Person,Pixabay,5.08823529411765,1.02544789708355,102,3.57425742574257,1.53848324432517,101,0.7395264116575603,0.46683046683046653
72,Billiards 1,Object,Pixabay,4.51960784313725,0.817268962803335,102,2.57425742574257,1.51885835187792,101,0.6338797814207646,0.21867321867321837
73,Bird 1,Animal,Pixabay,5.90740740740741,1.00964541788252,108,3.00961538461538,1.73762024691227,104,0.8917223234163135,0.3267104517104514
74,Bird 2,Animal,Pixabay,5.47524752475248,1.1008547534161,101,3.69902912621359,1.54561334647136,103,0.8114303233602063,0.49779346866725527
75,Bird 3,Animal,Pixabay,6.03703703703704,0.956296652893371,108,3.43269230769231,1.71098349663739,104,0.9158065168994141,0.43170005670005807
76,Bird 4,Animal,Pixabay,5.54901960784314,1.06824044258588,102,3.57425742574257,1.73405037212571,101,0.8251366120218588,0.46683046683046653
77,Bird 5,Animal,Pixabay,4.47058823529412,1.37665027773467,102,4.44554455445545,1.54580236462979,101,0.6247723132969044,0.6830466830466849
78,Birthday 1,Scene,Pixabay,5.7843137254902,0.950533471688317,102,3.45544554455446,1.63416493950426,101,0.8688524590163947,0.43734643734643924
79,Birthday 2,Person,Pixabay,5.32673267326733,1.17566075796625,101,3.37864077669903,1.59113047033079,103,0.783837400133457,0.4182867775100794
80,Birthday 3,Scene,Pixabay,5.56862745098039,1.04842931953035,102,3.42574257425743,1.51885835187792,101,0.8287795992714027,0.42997542997543187
81,Bloody knife 1,Object,Flickr/Maarten Van Damme,1.84313725490196,1.06003080507466,102,4.54455445544554,1.93661949011801,101,0.13661202185792373,0.7076167076167071
82,Bloody knife 2,Object,Flickr/Steven Depolo,2.25742574257426,1.10139425590053,101,3.90291262135922,1.99270514286679,103,0.21358365344731278,0.5483886357672764
83,Boat 1,Object,Pixabay,4.57407407407407,1.12908617175431,108,2.79807692307692,1.71447185500323,104,0.6439991904472776,0.27421564921564917
84,Bored face 1,Person,Flickr,3.64814814814815,0.777184167481206,108,2.375,1.47593972039932,104,0.4719692369965601,0.169226044226045
85,Bored pose 1,Person,Pixabay,3.55882352941176,1.06774055338452,102,2.92079207920792,1.44694967650455,101,0.4553734061930779,0.3046683046683052
86,Bored pose 2,Person,Pixabay,3.18627450980392,0.972191483368331,102,2.74257425742574,1.54047697383982,101,0.3861566484517306,0.2604422604422606
87,Bored pose 3,Person,Wikipedia,3.08823529411765,0.857153257279446,102,2.71287128712871,1.47876051924148,101,0.3679417122040082,0.2530712530712531
88,Bored pose 4,Person,Wikipedia,3.12745098039216,1.02127437986049,102,3.01980198019802,1.4420832016205,101,0.37522768670309753,0.32923832923833
89,Bored pose 5,Person,All-free-download.com,3.8019801980198,0.927575355215931,101,3.03883495145631,1.48800649704126,103,0.5005500550055006,0.33396149901004335
90,Bored pose 6,Person,Pixabay,4.55882352941176,1.20702177797677,102,3.38613861386139,1.58095096084416,101,0.6411657559198539,0.4201474201474219
91,Bottle 1,Object,Pixabay,4.17647058823529,0.801134896811242,102,2.15841584158416,1.34709074131869,101,0.5701275045537337,0.11547911547911663
92,Boxing 1,Person,Pixabay,3.73529411764706,1.27369790306881,102,3.89108910891089,1.66673927234592,101,0.4881602914389806,0.545454545454546
93,Boxing 2,Person,Pixabay,3.69607843137255,1.05106467178888,102,4.1980198019802,1.51009802317729,101,0.48087431693989136,0.6216216216216228
94,Bricks 1,Object,Pixabay,4.15686274509804,0.714005547295417,102,1.81188118811881,1.22239822715127,101,0.5664845173041901,0.029484029484029787
95,Bridge 1,Scene,Pixabay,5.89108910891089,0.999009410356178,101,3.55339805825243,1.77525560346764,103,0.8886905083951021,0.4616540635958127
96,Bubble 1,Object,Pixabay,4.79207920792079,1.08919081600212,101,3.07766990291262,1.68435313928249,103,0.68450287651716,0.3435986736957615
97,Bubble 2,Object,Pixabay,5.0,1.03923048454133,101,3.03883495145631,1.74289780165152,103,0.7231329690346089,0.33396149901004335
98,Building 1,Scene,Pixabay,5.03703703703704,1.48466255913702,108,3.20192307692308,1.74811858750119,104,0.7300141671726381,0.374432999433001
99,Building 2,Scene,Pixabay,4.7962962962963,1.13367535001802,108,3.17307692307692,1.82986183197598,104,0.6852863792754516,0.36727461727461724
100,Bungee jumping 1,Person,Wikipedia,4.2037037037037,1.3586638520215,108,4.55769230769231,1.97472831154219,104,0.5751872090669902,0.7108769608769622
101,Bungee jumping 2,Person,Wikipedia,4.76470588235294,1.17882699364884,102,4.65346534653465,1.71718166519653,101,0.6794171220400731,0.7346437346437344
102,Bungee jumping 3,Person,Flickr/Eric Chan,5.11111111111111,1.36260699371266,108,4.35576923076923,1.68326006638395,104,0.7437765634486948,0.6607682857682863
103,Camping 1,Person,Pixabay,5.6039603960396,0.980603976341031,101,3.25242718446602,1.6070826485448,103,0.8353441901567203,0.38696595978149473
104,Camping 2,Person,Pixabay,4.96039603960396,1.15689923570904,101,3.18446601941748,1.64345149009777,103,0.7157748561741425,0.3701009040814885
105,Camping 3,Person,Pixabay,5.01851851851852,1.03202442810944,108,2.98076923076923,1.55782253579304,104,0.7265735681036235,0.3195520695520701
106,Camping 4,Person,Pixabay,5.65686274509804,1.13010205479058,102,3.22772277227723,1.63022199788134,101,0.845173041894354,0.3808353808353822
107,Camping 6,Person,Pixabay,3.88118811881188,1.00286717677738,101,3.13592233009709,1.43519175250461,103,0.5152662807264335,0.3580544357243401
108,Camping 7,Person,Pixabay,5.2156862745098,0.874585627262252,102,2.98019801980198,1.39269665052948,101,0.763205828779599,0.31941031941032016
109,Camping 8,Person,Pixabay,3.55882352941176,1.34660210013001,102,3.73267326732673,1.60555964765505,101,0.4553734061930779,0.5061425061425063
110,Camping 9,Person,Pixabay,3.99019607843137,1.25465547351143,102,3.4950495049505,1.70659756460765,101,0.53551912568306,0.44717444717444915
111,Camping 10,Scene,Pixabay,4.94117647058824,1.11536105606278,102,3.77227722772277,1.61790721686265,101,0.7122040072859759,0.5159705159705162
112,Candle 1,Object,Pixabay,5.04901960784314,1.01841899390009,102,3.30693069306931,1.69553870057528,101,0.7322404371584709,0.400491400491402
113,Car 1,Object,Pixabay,5.22549019607843,1.28129623989083,102,4.32673267326733,1.88206753806068,101,0.7650273224043718,0.653562653562655
114,Car 2,Object,Pixabay,3.92079207920792,1.09254902239517,101,2.87378640776699,1.56981085191619,103,0.5226243935868999,0.2930035065957403
115,Car accident 1,Object,Pixabay,2.14705882352941,0.9270100859623,102,4.0990099009901,1.7349636912342,101,0.19307832422586524,0.597051597051598
116,Car accident 2,Object,Pixabay,1.97222222222222,1.00891663311974,108,4.08653846153846,1.83869189953591,104,0.16059502125075895,0.5939567189567193
117,Car accident 3,Object,Pixabay,2.67647058823529,1.25202224307166,102,4.4950495049505,1.60389377688323,101,0.2914389799635697,0.6953316953316973
118,Car accident 4,Object,Pixabay,2.02777777777778,0.941844812636531,108,3.96153846153846,1.81109352217912,104,0.17091681845780282,0.5629370629370632
119,Car crash 1,Scene,Wikipedia,1.85294117647059,0.762967873965577,102,4.55445544554455,1.75769876557249,101,0.13843351548269653,0.7100737100737096
120,Car crash 2,Scene,Wikipedia,1.99009900990099,0.83060278719675,101,4.21359223300971,1.87684803273422,103,0.1639163916391643,0.6254860332530247
121,Car crash 3,Scene,Wikipedia,2.02941176470588,0.826011319570284,102,4.66336633663366,1.72207565294195,101,0.1712204007285974,0.7371007371007371
122,Car race 1,Scene,Wikipedia,4.38888888888889,1.16677792081908,108,3.21153846153846,1.83108581996032,104,0.6095931997571349,0.3768191268191272
123,Car race 2,Scene,Wikipedia,4.36633663366337,1.06510818490168,101,3.59223300970874,1.81192614014232,103,0.6054031632671476,0.4712912382815308
124,Car race 3,Scene,Wikipedia,4.3960396039604,1.07776813759539,101,3.68932038834951,1.79885108329577,103,0.6109217479124973,0.4953841749958251
125,Car race 4,Scene,Wikipedia,4.14705882352941,1.1379768292159,102,3.47524752475248,1.72970552063605,101,0.5646630236794173,0.44226044226044425
126,Cardboard 1,Object,Pixabay,4.01851851851852,0.431937202979103,108,1.98076923076923,1.37226882666491,104,0.5407812183768475,0.07139482139482198
127,Cardboard 2,Object,Pixabay,4.00925925925926,0.587969265684951,108,2.06730769230769,1.47644563402501,104,0.5390609188423403,0.09286996786996804
128,Cardboard 3,Object,Pixabay,3.74509803921569,0.804520329507078,102,1.86138613861386,1.2730255533201,101,0.4899817850637534,0.04176904176904219
129,Cat 1,Animal,Pixabay,5.42156862745098,1.16411930345192,102,3.84158415841584,1.57310313245716,101,0.8014571948998183,0.5331695331695336
130,Cat 2,Animal,Pixabay,5.4950495049505,1.17152688723936,101,3.98058252427184,1.74884041427272,103,0.8151093797904394,0.5676629851387129
131,Cat 3,Animal,Pixabay,6.0,1.11907839251687,108,4.22115384615385,1.90021322650871,104,0.9089253187613848,0.6273625023625041
132,Cat 4,Animal,Pixabay,5.84313725490196,1.07854961318582,102,3.53465346534653,1.76388410297073,101,0.8797814207650275,0.45700245700245656
133,Cat 5,Animal,Pixabay,6.2156862745098,0.991323257868958,102,4.86138613861386,1.78902041894606,101,0.9489981785063749,0.7862407862407867
134,Cat 6,Animal,Pixabay,4.7156862745098,1.4649532887521,102,4.02970297029703,1.68793036316404,101,0.670309653916211,0.5798525798525805
135,Cat 7,Animal,Wikipedia,3.32352941176471,1.25990542396809,102,4.40594059405941,1.57593285276868,101,0.411657559198544,0.6732186732186749
136,Cat 8,Animal,Flickr/Markus Schoepke,4.76470588235294,1.3800306395525,102,3.63366336633663,1.50812978405194,101,0.6794171220400731,0.4815724815724814
137,Cat 9,Animal,Pixabay,5.33333333333333,1.33954937324627,108,3.60576923076923,1.75387653433326,104,0.785063752276867,0.47465034965035025
138,Cat 10,Animal,Pixabay,5.45098039215686,1.15721970479088,102,3.42574257425743,1.47882747238118,101,0.8069216757741348,0.42997542997543187
139,Cat 11,Animal,Pixabay,5.36633663366337,1.1808706303167,101,3.60194174757282,1.64101717514547,103,0.7911955129939235,0.4737005319529611
140,Cat 12,Animal,Wikipedia,5.18518518518519,1.23914462619917,108,3.38461538461538,1.71971826721587,104,0.7575389597247534,0.41976941976941945
141,Cat 13,Animal,Flickr/Marjolein Knuit,5.45544554455446,1.16210801972319,101,3.71844660194175,1.93227223616904,103,0.807751266929973,0.5026120560101156
142,Cat 14,Animal,Skeezix Scratching Post,5.70588235294118,1.1568841328816,102,4.00990099009901,1.7175275805934,101,0.8542805100182161,0.5749385749385757
143,Celebration 1,Person,Pixabay,5.32352941176471,1.10947106036158,102,3.8019801980198,1.69127054003904,101,0.783242258652096,0.5233415233415236
144,Celebration 2,Scene,Pixabay,4.8921568627451,1.07082703991255,102,4.15841584158416,1.4746706294446,101,0.7030965391621138,0.611793611793613
145,Cemetery 1,Scene,Pixabay,4.1078431372549,1.35637010300971,102,3.48514851485149,1.68293708370895,101,0.5573770491803279,0.44471744471744673
146,Cemetery 2,Scene,Pixabay,3.99009900990099,1.29224648968338,101,4.21359223300971,1.93345411439943,103,0.5355010910927163,0.6254860332530247
147,Cemetery 3,Scene,Pixabay,2.94444444444444,1.37285658482312,108,3.63461538461538,1.88534301845493,104,0.34122647237401293,0.48180873180873146
148,Cemetery 4,Scene,Pixabay,2.79411764705882,1.18854462375453,102,4.33663366336634,1.90933091800647,101,0.3132969034608376,0.6560196560196575
149,Cemetery 5,Scene,Pixabay,2.50980392156863,1.22470524268888,102,4.7029702970297,1.83054393258094,101,0.26047358834244166,0.7469287469287469
150,Cheerleader 1,Person,Pixabay,5.29411764705882,1.21531673167918,102,4.27722772277228,1.73849827081414,101,0.7777777777777776,0.6412776412776428
151,Cheerleader 2,Person,Pixabay,5.1980198019802,1.10471536587664,101,4.12621359223301,1.64900214420059,103,0.7599235333369411,0.603802390210158
152,Child labor 1,Person,Pixabay,4.25925925925926,1.00810148549323,108,3.27884615384615,1.49729030831155,104,0.5855090062740342,0.3935220185220184
153,Child labor 2,Person,Pixabay,2.82178217821782,1.12601988973517,101,3.6504854368932,1.79710408584869,103,0.3184367617089578,0.4857470003101069
154,Child labor 3,Person,Pixabay,4.08823529411765,1.17820925688072,102,3.5049504950495,1.58507894047103,101,0.5537340619307843,0.4496314496314492
155,Child labor 4,Person,Pixabay,4.01851851851852,0.995142233589963,108,3.03846153846154,1.58220122517743,104,0.5407812183768475,0.33386883386883504
156,Children 1,Person,Flickr/Stefano Corso,5.72277227722772,1.04994106388109,101,3.52427184466019,1.70836844647324,103,0.8574185287381196,0.4544261825815221
157,Chipmunk 1,Animal,Pixabay,5.41176470588235,1.08411519953864,102,3.27722772277228,1.66203978220251,101,0.7996357012750454,0.39312039312039465
158,Chipmunk 2,Animal,Flickr/Gilles Gonthier,5.73529411764706,0.932647361416487,102,4.23,1.71655633655457,100,0.8597449908925325,0.6295577395577404
159,Chipmunk 3,Animal,Pixabay,5.52941176470588,0.908767878225174,102,3.72277227722772,1.64389057957753,101,0.8214936247723132,0.5036855036855037
160,City 1,Scene,Pixabay,4.43564356435644,1.04322424803259,101,3.13592233009709,1.56586469057909,103,0.6182798607729637,0.3580544357243401
161,Clean 1,Object,Pixabay,5.0462962962963,1.07984300744776,108,2.36538461538462,1.48819100655595,104,0.7317344667071455,0.16683991683991872
162,Cliff diver 1,Person,Wikipedia,4.83333333333333,1.26712689224722,102,4.85148514851485,1.58988137050449,101,0.692167577413479,0.783783783783784
163,Cliff diver 2,Person,Wikipedia,5.10891089108911,1.05736455491008,101,4.0873786407767,1.63962451534003,103,0.7433677794008916,0.5941652155244399
164,Cliff diver 3,Person,Wikipedia,5.12037037037037,1.39904902676811,108,4.75,1.62952134254978,104,0.7454968629832022,0.7585995085995093
165,Cockroach 1,Animal,Pixabay,2.05882352941176,1.17585889747351,102,4.34653465346535,2.1745603857532,101,0.1766848816029139,0.6584766584766601
166,Cockroach 2,Animal,Pixabay,2.26470588235294,1.29680850123522,102,4.10891089108911,2.16749159213599,101,0.21493624772313308,0.5995085995086005
167,Cockroach 3,Animal,Pixabay,2.45098039215686,1.30973091469914,102,3.94059405940594,2.06795445877426,101,0.24954462659380675,0.5577395577395584
168,Cockroach 4,Animal,Pixabay,2.2843137254902,1.23783147160143,102,3.94059405940594,2.08720761870121,101,0.2185792349726787,0.5577395577395584
169,Coffee 1,Object,Pixabay,5.54901960784314,1.09569319782964,102,3.8019801980198,1.70891662745845,101,0.8251366120218588,0.5233415233415236
170,Cold 1,Object,Pixabay,3.99009900990099,1.05351838621782,101,3.47572815533981,1.66182429992083,103,0.5355010910927163,0.4423797142243763
171,Cold 2,Object,Pixabay,4.73267326732673,0.798637453528331,101,2.59223300970874,1.56829427263073,103,0.6734657072264603,0.22313399012428264
172,Cold 3,Object,Pixabay,4.88235294117647,1.06514646087291,102,2.8019801980198,1.58126406384385,101,0.701275045537341,0.27518427518427546
173,Cold 4,Object,Pixabay,5.06862745098039,1.02696133452303,102,2.96039603960396,1.63658664346993,101,0.7358834244080147,0.31449631449631515
174,Cold 5,Scene,Pixabay,5.49074074074074,1.03666765166418,108,3.20192307692308,1.85587394790978,104,0.8143088443634894,0.374432999433001
175,Cold 6,Person,Pixabay,4.96078431372549,1.09834771160734,102,4.28712871287129,1.6330133720418,101,0.7158469945355196,0.6437346437346452
176,Cold 7,Person,Pixabay,5.29411764705882,1.14829391564843,102,3.38613861386139,1.86531657918812,101,0.7777777777777776,0.4201474201474219
177,Cold 8,Object,Pixabay,5.52475247524752,1.16270425651531,101,3.48543689320388,1.68537002203509,103,0.8206279644357874,0.44478900789580395
178,Collaboration 1,Person,Pixabay,5.43137254901961,0.969942367600625,102,3.34653465346535,1.60272045949602,101,0.8032786885245911,0.41031941031941194
179,Cotton swabs 1,Object,Pixabay,4.09803921568627,0.738070858729912,102,2.18811881188119,1.39077583590691,101,0.5555555555555551,0.12285012285012412
180,Cotton swabs 2,Object,Pixabay,4.05882352941176,0.52319523667414,102,1.86138613861386,1.24923739113346,101,0.5482695810564658,0.04176904176904219
181,Cotton swabs 3,Object,Pixabay,4.12745098039216,0.608057589564304,102,1.81188118811881,1.24669861062832,101,0.5610200364298735,0.029484029484029787
182,Couple 1,Person,Pixabay,5.53921568627451,1.24813975343627,102,3.96039603960396,1.66084792849441,101,0.823315118397086,0.5626535626535634
183,Couple 2,Person,Pixabay,5.62745098039216,1.08929597235787,102,3.77227722772277,1.52892895923134,101,0.8397085610200374,0.5159705159705162
184,Couple 3,Person,Pixabay,4.00925925925926,1.41087478908449,108,3.44230769230769,1.63592510022082,104,0.5390609188423403,0.43408618408618427
185,Couple 4,Person,Pixabay,5.97058823529412,1.23845865840289,102,4.53465346534653,1.45302688506196,101,0.9034608378870684,0.7051597051597047
186,Couple 5,Animal,Pixabay,4.99074074074074,1.27883833362874,108,3.47115384615385,1.6307525856239,104,0.7214126695001014,0.4412445662445679
187,Couple 6,Person,Pixabay,5.6078431372549,1.10046671237773,102,4.13861386138614,1.51016358696862,101,0.8360655737704918,0.6068796068796078
188,Couple 7,Person,Pixabay,5.91666666666667,0.958240209480598,108,4.25,1.36353338828606,104,0.8934426229508207,0.6345208845208853
189,Couple 8,Person,Pixabay,5.75925925925926,1.05786215707502,108,4.16346153846154,1.58947128611376,104,0.8641975308641983,0.6130457380457391
190,Couple 9,Person,Pixabay,5.81481481481481,1.00603922321994,108,3.44230769230769,1.55686343301732,104,0.8745193280712403,0.43408618408618427
